age,campaign,previous,emp_var_rate,cons_price_idx,cons_conf_idx,job,marital,default,housing,loan,poutcome,y
56,1,0,1.1,93.994,-36.4,3,1,0,0,0,1,0
57,1,0,1.1,93.994,-36.4,7,1,1,0,0,1,0
37,1,0,1.1,93.994,-36.4,7,1,0,2,0,1,0
40,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
56,1,0,1.1,93.994,-36.4,7,1,0,0,2,1,0
45,1,0,1.1,93.994,-36.4,7,1,1,0,0,1,0
59,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
41,1,0,1.1,93.994,-36.4,1,1,1,0,0,1,0
24,1,0,1.1,93.994,-36.4,9,2,0,2,0,1,0
25,1,0,1.1,93.994,-36.4,7,2,0,2,0,1,0
41,1,0,1.1,93.994,-36.4,1,1,1,0,0,1,0
25,1,0,1.1,93.994,-36.4,7,2,0,2,0,1,0
29,1,0,1.1,93.994,-36.4,1,2,0,0,2,1,0
57,1,0,1.1,93.994,-36.4,3,0,0,2,0,1,0
35,1,0,1.1,93.994,-36.4,1,1,0,2,0,1,0
54,1,0,1.1,93.994,-36.4,5,1,1,2,2,1,0
35,1,0,1.1,93.994,-36.4,1,1,0,2,0,1,0
46,1,0,1.1,93.994,-36.4,1,1,1,2,2,1,0
50,1,0,1.1,93.994,-36.4,1,1,0,2,2,1,0
39,1,0,1.1,93.994,-36.4,4,2,1,0,0,1,0
30,1,0,1.1,93.994,-36.4,10,1,0,0,0,1,0
55,1,0,1.1,93.994,-36.4,1,1,1,2,0,1,0
55,1,0,1.1,93.994,-36.4,5,2,0,2,0,1,0
41,1,0,1.1,93.994,-36.4,9,2,0,2,0,1,0
37,1,0,1.1,93.994,-36.4,0,1,0,2,0,1,0
35,1,0,1.1,93.994,-36.4,9,1,0,0,2,1,0
59,1,0,1.1,93.994,-36.4,9,1,0,2,0,1,0
39,1,0,1.1,93.994,-36.4,6,1,1,0,0,1,0
54,2,0,1.1,93.994,-36.4,9,2,1,0,0,1,0
55,1,0,1.1,93.994,-36.4,11,1,1,1,1,1,0
46,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
59,1,0,1.1,93.994,-36.4,9,1,0,2,0,1,0
49,1,0,1.1,93.994,-36.4,1,1,0,0,0,1,0
54,1,0,1.1,93.994,-36.4,4,1,1,2,0,1,0
54,1,0,1.1,93.994,-36.4,1,0,0,0,0,1,0
55,1,0,1.1,93.994,-36.4,11,1,1,2,0,1,0
34,1,0,1.1,93.994,-36.4,7,1,0,0,0,1,0
52,1,0,1.1,93.994,-36.4,9,1,0,2,0,1,0
41,1,0,1.1,93.994,-36.4,0,1,0,2,0,1,0
56,1,0,1.1,93.994,-36.4,9,1,0,2,0,1,0
58,1,0,1.1,93.994,-36.4,4,3,0,2,0,1,0
32,1,0,1.1,93.994,-36.4,2,1,0,2,0,1,0
38,1,0,1.1,93.994,-36.4,0,2,0,0,0,1,0
57,1,0,1.1,93.994,-36.4,0,1,0,0,2,1,0
44,1,0,1.1,93.994,-36.4,0,1,1,2,0,1,0
42,1,0,1.1,93.994,-36.4,9,2,1,0,0,1,0
57,1,0,1.1,93.994,-36.4,0,1,0,2,2,1,0
40,1,0,1.1,93.994,-36.4,1,1,0,0,2,1,0
35,1,0,1.1,93.994,-36.4,0,1,0,2,0,1,0
45,2,0,1.1,93.994,-36.4,1,1,0,2,0,1,0
54,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
39,1,0,1.1,93.994,-36.4,3,1,0,0,2,1,0
60,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
53,1,0,1.1,93.994,-36.4,0,2,0,0,0,1,0
55,2,0,1.1,93.994,-36.4,1,1,1,0,0,1,0
55,1,0,1.1,93.994,-36.4,9,1,1,2,0,1,0
50,1,0,1.1,93.994,-36.4,4,1,1,0,2,1,0
45,1,0,1.1,93.994,-36.4,7,1,1,2,0,1,0
55,1,0,1.1,93.994,-36.4,10,1,1,2,2,1,0
25,1,0,1.1,93.994,-36.4,9,2,0,2,0,1,0
47,1,0,1.1,93.994,-36.4,2,1,1,0,0,1,0
51,1,0,1.1,93.994,-36.4,1,1,0,2,0,1,0
42,1,0,1.1,93.994,-36.4,1,1,1,2,0,1,0
42,1,0,1.1,93.994,-36.4,1,1,1,0,0,1,0
48,1,0,1.1,93.994,-36.4,0,1,0,0,0,1,0
